net,length_um
_02422_,267.99
_04656_,265.22
_01830_,264.84
net169,263.82
_04451_,261.63
_02928_,261.4
_02868_,256.87
_03223_,256.1
_04479_,253.42
_01312_,252.95
_01334_,252.93
_01826_,252.155
_04617_,250.97
_01315_,247.6
_03365_,247.54
_02350_,246.06
_01845_,245.92
_04507_,245.05
_03265_,244.39
_03473_,243.81
_04602_,242.82
_04117_,242.73
net29,241.08
_01887_,240.52
_03127_,239.91
_01165_,238.78
_01951_,237.54
_03447_,235.81
_01562_,234.76
_01170_,233.98
net20,233.85
_01955_,231.49
_04365_,230.22
_04840_,229.17
_04088_,228.9
_04984_,227.92
_03204_,227.88
net145,227.16
_04307_,226.66
_02819_,226.64
_04422_,225.39
net146,224.6
net18,224.06
_01246_,222.93
_02143_,221.76
_03860_,221.04
net30,220.19
net131,219.74
_01947_,219.66
_01835_,219.3
_04248_,217.18
net156,216.54
net128,216.09
_01414_,216.025
net26,215.87
_04348_,214.38
_03973_,213.65
_01256_,212.77
_01300_,212.62
_04768_,212.19
net168,211.86
net147,211.455
net127,210.9
_04031_,209.7
_01354_,209.06
net125,207.7
_02838_,207.67
_01788_,207.17
_03178_,206.81
_03059_,205.955
_03896_,205.21
_01318_,205.18
_03093_,204.02
_03205_,204.02
_03157_,203.76
_02777_,202.6
_01130_,202.1
net27,201.24
_01232_,200.75
_03591_,199.88
_01897_,199.82
_03619_,198.73
_01249_,198.44
_01220_,197.55
_03958_,197.49
_01169_,197.3
_04152_,196.62
_01133_,196.27
_04212_,196.05
_03466_,194.86
_01213_,194.855
_01329_,194.81
_02969_,194.27
net166,193.65
_03801_,192.58
net129,191.64
_04182_,190.51
_03479_,190.48
net133,190.31
_01210_,187.87
_01131_,186.44
net126,186.3
_04289_,183.9
_01129_,182.77
_04407_,180.94
_01188_,180.13
_04388_,179.11
_03037_,178.95
_01132_,176.535
_01415_,176.14
net121,175.12
_01787_,174.76
_04053_,173.5
_04329_,172.91
regfile_inst.RegisterFile\[28\]\[5\],172.43
net111,166.62
regfile_inst.RegisterFile\[22\]\[14\],166.35
_04013_,165.55
_04072_,163.1
_02069_,161.4
_03492_,160.935
_03231_,160.73
net136,159.48
_01417_,159.1
_04270_,157.48
_03453_,155.8
net117,154.4
_03647_,153.99
regfile_inst.RegisterFile\[24\]\[1\],153.99
clknet_leaf_17_clk,153.44
net123,152.28
_01591_,151.02
net137,151.01
_02737_,150.38
_03003_,150.16
clknet_leaf_6_clk,148.92
net22,148.82
net24,148.66
net68,148.59
clknet_leaf_0_clk,147.93
_01149_,146.44
_01156_,146.085
regfile_inst.RegisterFile\[11\]\[22\],145.64
clknet_leaf_5_clk,145.525
_04671_,144.24
_01525_,144.04
_01219_,142.18
net67,142.1
_01263_,141.13
net113,140.45
_01565_,138.94
net165,138.54
_01995_,138.28
regfile_inst.RegisterFile\[8\]\[13\],138.16
_01203_,138.11
_01501_,137.38
clknet_leaf_67_clk,136.85
