net,length_um
_0792_,758.5
_0118_,757.74
_1184_,756.06
_0604_,755.2
_0146_,753.34
_1103_,753.28
_1019_,752.72
RF.registers\[0\]\[10\],752.58
_0957_,752.3
_0262_,752.04
_0036_,750.35
_0790_,750.22
_0658_,749.78
_1215_,749.61
_0677_,748.8
_0391_,748.59
_1116_,748.54
_0334_,747.68
_0350_,747.36
_0057_,747.02
_0795_,746.84
_1004_,746.47
_0892_,745.98
RF.registers\[20\]\[10\],745.875
_1167_,744.84
_0897_,744.22
_0595_,743.52
RF.registers\[0\]\[28\],742.72
_1243_,742.12
_1268_,740.98
_1155_,739.44
_0408_,738.24
RF.registers\[25\]\[18\],736.28
_1146_,735.81
_0518_,734.75
_1076_,733.54
_0323_,733.1
net453,733.06
_0422_,732.23
_1110_,731.22
_0813_,730.38
net361,730.38
_0418_,730.37
RF.registers\[20\]\[13\],729.18
_0650_,727.62
RF.registers\[10\]\[9\],726.91
_0817_,726.64
RF.registers\[15\]\[9\],726.38
_0425_,726.06
_0461_,725.74
_0541_,724.82
RF.registers\[0\]\[8\],724.595
_1197_,724.5
clknet_4_6_0_clk,723.575
_0117_,723.12
net45,722.94
_0062_,722.1
_0558_,722.09
_0121_,721.94
_1192_,721.22
_0651_,717.38
_0927_,716.98
_0587_,716.3
_0754_,715.54
_1074_,715.18
_1211_,714.72
_1118_,712.84
net465,712.44
_0793_,712.32
_0618_,712.105
RF.registers\[0\]\[6\],712.06
_0000_,711.51
net336,709.66
_0782_,709.52
_1010_,709.16
_0891_,709.08
_0009_,708.14
_1091_,707.3
_1282_,706.7
_1233_,705.38
_0359_,705.07
_0857_,703.34
RF.registers\[0\]\[18\],701.82
_0497_,700.7
clknet_4_10_0_clk,700.24
SSD.count\[17\],699.54
_0847_,699.44
_1137_,698.96
_0858_,698.16
_0761_,696.89
_0091_,696.78
_1156_,696.3
_0940_,696.22
net467,696.14
_0512_,696
_0978_,695.42
_0510_,695.34
_0976_,694.94
_0215_,694.7
_0455_,693.98
_0449_,693.94
_1258_,693.56
_0479_,692.46
net354,692.42
_0434_,691.52
_0101_,688.64
_0136_,687.08
_0700_,686.66
_0381_,686.16
_0882_,685.44
clknet_4_3_0_clk,685.18
net429,685.155
_0217_,683.98
_0830_,682.82
RF.registers\[25\]\[14\],682.54
_1152_,680.94
_0328_,680.26
_0343_,679.44
_0915_,679.03
_0800_,678.6
net421,678.16
_0489_,678.06
RF.registers\[5\]\[4\],677.47
_0557_,677.42
_1288_,677.18
clknet_4_2_0_clk,675.19
_0006_,674.805
_0153_,674.38
RF.registers\[0\]\[27\],673.86
net359,673.32
clknet_4_11_0_clk,673.32
_1221_,672.8
_0603_,672.18
_1112_,671.98
_0055_,671.3
_0471_,669.83
_0157_,669.56
_0718_,669.26
clknet_4_9_0_clk,666.18
RF.registers\[20\]\[19\],665.8
RF.registers\[25\]\[16\],665.2
_1237_,665.14
_0492_,664.98
_0312_,664.72
_1089_,662.94
net100,662.66
_0456_,662.32
_0005_,662.22
clknet_4_5_0_clk,662.1
clknet_4_8_0_clk,661.96
RF.registers\[5\]\[18\],660.86
clknet_4_14_0_clk,660.66
_0660_,660.42
_1044_,659.72
_0286_,659.4
_1187_,659.3
RF.registers\[25\]\[17\],659.16
_0488_,658.98
_0739_,655.76
_1203_,655.38
_0296_,654.75
RF.registers\[20\]\[29\],654.02
_0037_,654
_1281_,652.44
net95,652.4
RF.registers\[20\]\[17\],652.38
_0100_,651.785
_0881_,651.5
RF.registers\[25\]\[2\],651.42
_0533_,650.31
_0473_,649.76
_1260_,648.86
_0335_,648.51
_1072_,648.44
_1017_,648.42
RF.registers\[15\]\[8\],647.96
_0672_,647.51
_0372_,647.22
_0702_,647.13
_0442_,646.61
_0996_,646.56
_0356_,645.38
_0505_,644.68
_1239_,642.86
_0786_,641.44
clknet_4_12_0_clk,641.43
net455,639.66
_0617_,639.09
RF.registers\[0\]\[25\],637.46
net428,636.26
_0053_,634.955
_0064_,634.58
_0149_,633.66
_0112_,633.24
_0127_,633.1
_1252_,632.38
SSD.count\[6\],631
_1108_,630.54
_1181_,630.26
_0710_,629.91
_0275_,629.57
_1057_,629.42
net178,629.28
_1099_,628.98
_1200_,626.34
net337,625.4
_0961_,625.3
_0652_,625.16
_1023_,625.08
_0430_,624.34
_0451_,623.46
_1130_,622.7
_0027_,622.26
net362,621.82
_0874_,621.62
_1046_,621.52
_1283_,620.28
_0004_,619.48
_0197_,618.925
_0377_,618.76
RF.registers\[25\]\[27\],618.26
_1246_,617.84
clknet_4_0_0_clk,617.075
_0924_,616.84
_0814_,616.48
_0246_,615.92
_1060_,615.44
_0143_,614.48
_0124_,614.25
_0399_,613.8
clknet_4_4_0_clk,613.78
_0115_,612.94
_0496_,612.82
_0099_,610.24
_1154_,609.6
_0699_,606.12
_1138_,605.9
_0332_,604.24
_0093_,603.9
_0893_,602.88
_0621_,600.72
_1189_,600.26
_1000_,600.24
_1267_,600.155
_0822_,598.72
_0366_,598.26
net162,597.6
_1070_,597.12
_0168_,596.76
_0098_,595.32
_0208_,594.88
_1247_,594.66
_0910_,593.595
net81,593.56
_0452_,593.5
clknet_2_0_0_clk,593.23
net255,592.98
_0470_,592.82
_1280_,592.13
_0433_,592.07
clknet_4_1_0_clk,592
RF.registers\[0\]\[16\],591.82
_1186_,591.24
_0384_,590.69
_0378_,590.68
_0033_,590.38
_0344_,590.15
net231,589.99
_1166_,589.84
_0139_,589.78
_0135_,589.46
_0180_,589.16
_0977_,589.06
_1014_,588.64
net203,588.6
clknet_2_3_0_clk,588.6
_0622_,587.5
net314,587.32
net236,586.58
_1232_,586.06
_0634_,585.52
RF.registers\[25\]\[11\],585.1
_1050_,584.94
net367,584.53
_0237_,584.32
_0990_,583.985
net210,583.9
net308,583.7
net109,583.48
_0480_,582.62
net163,582.06
net165,581.57
net419,581.22
_1177_,580.34
RF.registers\[5\]\[22\],579.62
_1163_,579.6
net369,578.8
_0137_,578.36
RF.registers\[25\]\[0\],577.9
_0768_,577.28
net311,577.04
_0002_,576.85
net189,576.16
_0981_,575.22
net108,574.74
net54,574.6
_0028_,573.22
net56,571.91
_0291_,570.49
net323,568.52
_0698_,568.26
_0059_,566.94
_0188_,566.8
_0831_,565.86
net229,564.96
_0073_,564.9
net356,564.78
_0448_,563.98
_0129_,563.72
_0173_,563.68
_1033_,562.42
net211,562.18
_1250_,561.84
_0207_,561.82
_1271_,561.7
_0184_,561.04
net383,559.28
net149,559.22
net306,559.12
_0186_,557.7
net202,557.64
_0200_,557.46
RF.registers\[20\]\[25\],557.22
net277,557.06
clknet_0_clk,556.98
net237,556.44
_1158_,555.42
net452,553.84
_0068_,553.42
net223,553.12
_0716_,552.96
net340,552.74
net121,552.62
_0170_,551.32
net209,551.18
net198,550.92
net138,550.26
_0484_,550.01
net348,549.95
SSD.count\[18\],548.7
net248,548.1
net82,548
clknet_4_13_0_clk,546.84
net120,546.76
_1129_,546.3
net84,546.12
net222,545.72
_0336_,545.18
net166,545.12
net389,545.08
_0501_,544.54
net279,544.26
net244,544.12
_0780_,543.92
_1124_,543.88
net173,543.32
net235,543.26
RF.registers\[25\]\[21\],543.12
net242,543.045
RF.registers\[10\]\[7\],542.28
_0030_,541.92
net155,540.38
RF.registers\[15\]\[15\],539.85
_0744_,539.5
net92,539.4
net325,538.62
net387,538.52
_0630_,538.5
net150,537.56
_0970_,537.52
_0592_,537.2
_1178_,536.9
net435,536.48
_0837_,535.94
RF.registers\[20\]\[0\],535.9
net48,535.7
net176,535.2
_1145_,534.78
net392,534.74
_0253_,533.3
net171,533.24
net408,532.64
RF.registers\[15\]\[29\],532.22
_0495_,531.76
_0524_,531.64
_0039_,531.58
net218,531.36
_0885_,531.195
_0192_,528.62
_0133_,527.22
_0075_,526.58
net309,526.36
net276,525.36
net206,524.58
_1049_,524
_0365_,523.78
_1227_,523.78
net274,522.66
_0859_,522.49
net283,522.36
_0426_,520.6
_0610_,520.28
net251,519.99
net266,519.92
_0305_,519.68
net148,519.06
_0980_,518.9
net184,518.9
net167,518.76
net291,518.08
net342,517.86
_0229_,517.4
net292,516.72
net110,516.64
_1128_,516.14
_0199_,515.98
_0349_,515.98
net182,515.96
_0110_,515.84
net271,514.24
_0327_,513.52
net234,512.96
net174,512.84
net89,512.26
_0767_,512.18
net143,511.78
_1075_,511.56
net169,510.08
net61,509.9
SSD.count\[4\],509.22
_0729_,509.12
net220,507.9
_0358_,506.795
_0029_,506.22
net228,505.14
clknet_2_1_0_clk,504.66
_1106_,504.45
net46,503.26
net273,502.78
net438,502.68
net157,501.68
net379,500.93
net97,500.86
net384,500.82
_1216_,500.72
_1274_,499.28
_0389_,498.8
net372,498.14
_0152_,497.74
net207,497.56
net275,497.54
_0477_,497.46
net69,496.62
net199,496.48
_0665_,496.135
_0383_,496.08
_0846_,496.08
net263,496
net444,495.42
_0113_,495.4
net124,494.66
_0553_,493.86
net265,493.71
net147,493.62
_1195_,492.94
_1035_,492.04
net88,492
